Trajectory summary
Episodes: 763
Success rate: 100.0%
Path length (avg): 21.52
Total reward (avg): 0.00
Mean step (avg): 0.11
Total steps: 152500
Avg steps per episode: 199.87
Path length per episode:
ep_00433: path_length=23.04, steps=200
ep_00434: path_length=21.77, steps=200
ep_00435: path_length=20.71, steps=200
ep_00436: path_length=22.74, steps=200
ep_00437: path_length=23.86, steps=200
ep_00438: path_length=20.97, steps=200
ep_00439: path_length=20.64, steps=200
ep_00440: path_length=21.62, steps=200
ep_00441: path_length=21.25, steps=200
ep_00442: path_length=21.79, steps=200
ep_00443: path_length=21.82, steps=200
ep_00444: path_length=22.68, steps=200
ep_00445: path_length=21.93, steps=200
ep_00446: path_length=22.91, steps=200
ep_00447: path_length=20.44, steps=200
ep_00448: path_length=22.07, steps=200
ep_00449: path_length=21.99, steps=200
ep_00450: path_length=19.78, steps=200
ep_00451: path_length=21.74, steps=200
ep_00452: path_length=22.33, steps=200
ep_00453: path_length=21.93, steps=200
ep_00454: path_length=20.66, steps=200
ep_00455: path_length=0.00, steps=200
ep_00456: path_length=0.00, steps=200
ep_00457: path_length=10.01, steps=200
ep_00458: path_length=21.58, steps=200
ep_00459: path_length=21.54, steps=200
ep_00460: path_length=21.55, steps=200
ep_00461: path_length=21.67, steps=200
ep_00462: path_length=21.92, steps=200
ep_00463: path_length=23.43, steps=200
ep_00464: path_length=19.34, steps=200
ep_00465: path_length=22.96, steps=200
ep_00466: path_length=21.92, steps=200
ep_00467: path_length=24.02, steps=200
ep_00468: path_length=21.31, steps=200
ep_00469: path_length=20.93, steps=200
ep_00470: path_length=21.21, steps=200
ep_00471: path_length=21.15, steps=200
ep_00472: path_length=21.66, steps=200
ep_00473: path_length=23.86, steps=200
ep_00474: path_length=20.59, steps=200
ep_00475: path_length=20.80, steps=200
ep_00476: path_length=22.96, steps=200
ep_00477: path_length=23.12, steps=200
ep_00478: path_length=21.80, steps=200
ep_00479: path_length=25.10, steps=200
ep_00480: path_length=20.92, steps=200
ep_00481: path_length=22.33, steps=200
ep_00482: path_length=22.21, steps=200
ep_00483: path_length=21.20, steps=200
ep_00484: path_length=21.71, steps=200
ep_00485: path_length=21.36, steps=200
ep_00486: path_length=22.53, steps=200
ep_00487: path_length=22.71, steps=200
ep_00488: path_length=20.82, steps=200
ep_00489: path_length=21.10, steps=200
ep_00490: path_length=20.54, steps=200
ep_00491: path_length=22.31, steps=200
ep_00492: path_length=20.37, steps=200
ep_00493: path_length=22.09, steps=200
ep_00494: path_length=22.44, steps=200
ep_00495: path_length=23.03, steps=200
ep_00496: path_length=21.84, steps=200
ep_00497: path_length=21.45, steps=200
ep_00498: path_length=21.27, steps=200
ep_00499: path_length=21.46, steps=200
ep_00500: path_length=21.60, steps=200
ep_00501: path_length=24.09, steps=200
ep_00502: path_length=22.77, steps=200
